Team,Number,Name,Overseas,Role
CHENNAI SUPER KINGS,1,BRENDON McCULLUM,OVS,BATTER
CHENNAI SUPER KINGS,2,DWAYNE SMITH,OVS,ALL ROUNDER
CHENNAI SUPER KINGS,3,SURESH RAINA,,ALL ROUNDER
CHENNAI SUPER KINGS,4,FAF du PLESSIS,OVS,BATTER
CHENNAI SUPER KINGS,5,MS DHONI (c),,WICKET KEEPER
CHENNAI SUPER KINGS,6,DWAYNE BRAVO,OVS,ALL ROUNDER
CHENNAI SUPER KINGS,7,RAVINDRA JADEJA,,ALL ROUNDER
CHENNAI SUPER KINGS,8,RAVICHANDRAN ASHWIN,,ALL ROUNDER
CHENNAI SUPER KINGS,9,ISHWAR PANDEY,,BOWLER
CHENNAI SUPER KINGS,10,MOHIT SHARMA,,BOWLER
CHENNAI SUPER KINGS,11,ASHISH NEHRA,,BOWLER
DELHI DAREDEVILS,1,QUINTON de KOCK,OVS,WICKET KEEPER
DELHI DAREDEVILS,2,MAYANK AGARWAL,,BATTER
DELHI DAREDEVILS,3,SHREYAS IYER,,BATTER
DELHI DAREDEVILS,4,JP DUMINY (c),OVS,ALL ROUNDER
DELHI DAREDEVILS,5,YUVRAJ SINGH,,ALL ROUNDER
DELHI DAREDEVILS,6,KEDAR JADHAV,,BATTER
DELHI DAREDEVILS,7,ALBIE MORKEL,OVS,ALL ROUNDER
DELHI DAREDEVILS,8,MOHAMMED SHAMI,,BOWLER
DELHI DAREDEVILS,9,ZAHEER KHAN,,BOWLER
DELHI DAREDEVILS,10,AMIT MISHRA,,BOWLER
DELHI DAREDEVILS,11,IMRAN TAHIR,OVS,BOWLER
KOLKATA KNIGHT RIDERS,1,GAUTAM GAMBHIR (c),,BATTER
KOLKATA KNIGHT RIDERS,2,ROBIN UTHAPPA,,WICKET KEEPER
KOLKATA KNIGHT RIDERS,3,MANISH PANDEY,,BATTER
KOLKATA KNIGHT RIDERS,4,YUSUF PATHAN,,ALL ROUNDER
KOLKATA KNIGHT RIDERS,5,SHAKIB AL HASAN,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,6,ANDRE RUSSELL,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,7,SURYAKUMAR YADAV,,BATTER
KOLKATA KNIGHT RIDERS,8,PIYUSH CHAWLA,,BOWLER
KOLKATA KNIGHT RIDERS,9,UMESH YADAV,,BOWLER
KOLKATA KNIGHT RIDERS,10,MORNE MORKEL,OVS,BOWLER
KOLKATA KNIGHT RIDERS,11,SUNIL NARINE,OVS,BOWLER
MUMBAI INDIANS,1,LENDL SIMMONS,OVS,BATTER
MUMBAI INDIANS,2,ROHIT SHARMA (c),,BATTER
MUMBAI INDIANS,3,AMBATI RAYUDU,,BATTER
MUMBAI INDIANS,4,ADITYA TARE,,WICKET KEEPER
MUMBAI INDIANS,5,KIERON POLLARD,OVS,ALL ROUNDER
MUMBAI INDIANS,6,COREY ANDERSON,OVS,ALL ROUNDER
MUMBAI INDIANS,7,HARBHAJAN SINGH,,ALL ROUNDER
MUMBAI INDIANS,8,PRAGYAN OJHA,,BOWLER
MUMBAI INDIANS,9,LASITH MALINGA,OVS,BOWLER
MUMBAI INDIANS,10,VINAY KUMAR,,BOWLER
MUMBAI INDIANS,11,JASPRIT BUMRAH,,BOWLER
KINGS XI PUNJAB,1,VIRENDER SEHWAG,,BATTER
KINGS XI PUNJAB,2,MURALI VIJAY,,BATTER
KINGS XI PUNJAB,3,GEORGE BAILEY (c),OVS,BATTER
KINGS XI PUNJAB,4,DAVID MILLER,OVS,BATTER
KINGS XI PUNJAB,5,GLENN MAXWELL,OVS,ALL ROUNDER
KINGS XI PUNJAB,6,WRIDDHIMAN SAHA,,WICKET KEEPER
KINGS XI PUNJAB,7,AXAR PATEL,,ALL ROUNDER
KINGS XI PUNJAB,8,MITCHELL JOHNSON,OVS,BOWLER
KINGS XI PUNJAB,9,KARANVEER SINGH,,BOWLER
KINGS XI PUNJAB,10,SANDEEP SHARMA,,BOWLER
KINGS XI PUNJAB,11,ANUREET SINGH,,BOWLER
RAJASTHAN ROYALS,1,AJINKYA RAHANE,,BATTER
RAJASTHAN ROYALS,2,SHANE WATSON ,OVS,ALL ROUNDER
RAJASTHAN ROYALS,3,SANJU SAMSON,,WICKET KEEPER
RAJASTHAN ROYALS,4,STEVE SMITH (c),OVS,BATTER
RAJASTHAN ROYALS,5,KARUN NAIR,,BATTER
RAJASTHAN ROYALS,6,JAMES FAULKNER,OVS,ALL ROUNDER
RAJASTHAN ROYALS,7,STUART BINNY,,ALL ROUNDER
RAJASTHAN ROYALS,8,CHRIS MORRIS,OVS,ALL ROUNDER
RAJASTHAN ROYALS,9,RAJAT BHATIA,,ALL ROUNDER
RAJASTHAN ROYALS,10,DHAWAL KULKARNI,,BOWLER
RAJASTHAN ROYALS,11,PRAVIN TAMBE,,BOWLER
ROYAL CHALLENGERS BENGALURU,1,CHRIS GAYLE,OVS,BATTER
ROYAL CHALLENGERS BENGALURU,2,VIRAT KOHLI (c),,BATTER
ROYAL CHALLENGERS BENGALURU,3,AB de VILLIERS,,BATTER
ROYAL CHALLENGERS BENGALURU,4,DINESH KARTHIK,,WICKET KEEPER
ROYAL CHALLENGERS BENGALURU,5,MANDEEP SINGH,,BATTER
ROYAL CHALLENGERS BENGALURU,6,DARREN SAMMY,OVS,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,7,DAVID WIESE,OVS,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,8,MITCHELL STARC,OVS,BOWLER
ROYAL CHALLENGERS BENGALURU,9,HARSHAL PATEL,,BOWLER
ROYAL CHALLENGERS BENGALURU,10,VARUN AARON,,BOWLER
ROYAL CHALLENGERS BENGALURU,11,YUZVENDRA CHAHAL,,BOWLER
SUNRISERS HYDERABAD,1,DAVID WARNER (c),OVS,BATTER
SUNRISERS HYDERABAD,2,SHIKHAR DHAWAN ,,BATTER
SUNRISERS HYDERABAD,3,KL RAHUL,,BATTER
SUNRISERS HYDERABAD,4,NAMAN OJHA,,WICKET KEEPER
SUNRISERS HYDERABAD,5,MOISES HENRIQUES,OVS,ALL ROUNDER
SUNRISERS HYDERABAD,6,RAVI BOPARA,OVS,ALL ROUNDER
SUNRISERS HYDERABAD,7,ASHISH REDDY,,ALL ROUNDER
SUNRISERS HYDERABAD,8,KARN SHARMA,,ALL ROUNDER
SUNRISERS HYDERABAD,9,DALE STEYN,OVS,BOWLER
SUNRISERS HYDERABAD,10,ISHANT SHARMA,,BOWLER
SUNRISERS HYDERABAD,11,BHUVNESHWAR KUMAR,,BOWLER

